Site,Week_End,Pathogen_Target,Site_WVAL,Site_WVAL_Category,State/Territory,Population_Served
ID:113,2023-06-17,Influenza A virus,1.0,Very Low,California,4000000
ID:113,2023-06-24,Influenza A virus,1.21,Very Low,California,4000000
ID:113,2023-07-01,Influenza A virus,1.0,Very Low,California,4000000
ID:113,2023-07-08,Influenza A virus,1.22,Very Low,California,4000000
ID:113,2023-07-15,Influenza A virus,1.0,Very Low,California,4000000
ID:113,2023-07-22,Influenza A virus,1.0,Very Low,California,4000000
ID:113,2023-07-29,Influenza A virus,1.68,Very Low,California,4000000
ID:113,2023-08-05,Influenza A virus,1.0,Very Low,California,4000000
ID:113,2023-08-12,Influenza A virus,1.31,Very Low,California,4000000
ID:113,2023-08-19,Influenza A virus,1.0,Very Low,California,4000000
ID:113,2023-08-26,Influenza A virus,2.44,Very Low,California,4000000
ID:113,2023-09-02,Influenza A virus,1.0,Very Low,California,4000000
ID:113,2023-09-09,Influenza A virus,1.0,Very Low,California,4000000
ID:113,2023-09-16,Influenza A virus,1.0,Very Low,California,4000000
ID:113,2023-09-23,Influenza A virus,1.34,Very Low,California,4000000
ID:113,2023-09-30,Influenza A virus,1.33,Very Low,California,4000000
ID:113,2023-10-07,Influenza A virus,1.0,Very Low,California,4000000
ID:113,2023-10-14,Influenza A virus,1.56,Very Low,California,4000000
ID:113,2023-10-21,Influenza A virus,4.3,Low,California,4000000
ID:113,2023-10-28,Influenza A virus,1.37,Very Low,California,4000000
ID:113,2023-11-04,Influenza A virus,2.6,Very Low,California,4000000
ID:113,2023-11-11,Influenza A virus,3.56,Low,California,4000000
ID:113,2023-11-18,Influenza A virus,6.43,Moderate,California,4000000
ID:113,2023-11-25,Influenza A virus,6.71,Moderate,California,4000000
ID:113,2023-12-02,Influenza A virus,11.07,Moderate,California,4000000
ID:113,2023-12-09,Influenza A virus,11.69,High,California,4000000
ID:113,2023-12-16,Influenza A virus,13.05,High,California,4000000
ID:113,2023-12-23,Influenza A virus,19.14,Very High,California,4000000
ID:113,2023-12-30,Influenza A virus,19.05,Very High,California,4000000
ID:113,2024-01-06,Influenza A virus,15.1,High,California,4000000
ID:113,2024-01-13,Influenza A virus,12.63,High,California,4000000
ID:113,2024-01-20,Influenza A virus,9.61,Moderate,California,4000000
ID:113,2024-01-27,Influenza A virus,7.26,Moderate,California,4000000
ID:113,2024-02-03,Influenza A virus,6.79,Moderate,California,4000000
ID:113,2024-02-10,Influenza A virus,6.03,Low,California,4000000
ID:113,2024-02-17,Influenza A virus,4.78,Low,California,4000000
ID:113,2024-02-24,Influenza A virus,4.9,Low,California,4000000
ID:113,2024-03-02,Influenza A virus,3.21,Low,California,4000000
ID:113,2024-03-09,Influenza A virus,3.07,Low,California,4000000
ID:113,2024-03-16,Influenza A virus,3.09,Low,California,4000000
ID:113,2024-03-23,Influenza A virus,3.01,Low,California,4000000
ID:113,2024-03-30,Influenza A virus,1.43,Very Low,California,4000000
ID:113,2024-04-06,Influenza A virus,2.93,Low,California,4000000
ID:113,2024-04-13,Influenza A virus,2.8,Low,California,4000000
ID:113,2024-04-20,Influenza A virus,2.87,Low,California,4000000
ID:113,2024-04-27,Influenza A virus,1.67,Very Low,California,4000000
ID:113,2024-05-04,Influenza A virus,2.69,Very Low,California,4000000
ID:113,2024-05-11,Influenza A virus,2.09,Very Low,California,4000000
ID:113,2024-05-18,Influenza A virus,1.8,Very Low,California,4000000
ID:113,2024-05-25,Influenza A virus,1.0,Very Low,California,4000000
ID:113,2024-06-01,Influenza A virus,2.63,Very Low,California,4000000
ID:113,2024-06-08,Influenza A virus,1.28,Very Low,California,4000000
ID:113,2024-06-15,Influenza A virus,1.56,Very Low,California,4000000
ID:113,2024-06-22,Influenza A virus,1.37,Very Low,California,4000000
ID:113,2024-06-29,Influenza A virus,1.26,Very Low,California,4000000
ID:113,2024-07-06,Influenza A virus,1.64,Very Low,California,4000000
ID:113,2024-07-13,Influenza A virus,1.0,Very Low,California,4000000
ID:113,2024-07-20,Influenza A virus,1.15,Very Low,California,4000000
ID:113,2024-07-27,Influenza A virus,1.75,Very Low,California,4000000
ID:113,2024-08-03,Influenza A virus,1.26,Very Low,California,4000000
ID:113,2024-08-10,Influenza A virus,1.16,Very Low,California,4000000
ID:113,2024-08-17,Influenza A virus,2.83,Low,California,4000000
ID:113,2024-08-24,Influenza A virus,1.29,Very Low,California,4000000
ID:113,2024-08-31,Influenza A virus,1.0,Very Low,California,4000000
ID:113,2024-09-07,Influenza A virus,1.25,Very Low,California,4000000
ID:113,2024-09-14,Influenza A virus,1.38,Very Low,California,4000000
ID:113,2024-09-21,Influenza A virus,1.32,Very Low,California,4000000
ID:113,2024-09-28,Influenza A virus,1.37,Very Low,California,4000000
ID:113,2024-10-05,Influenza A virus,1.17,Very Low,California,4000000
ID:113,2024-10-12,Influenza A virus,1.0,Very Low,California,4000000
ID:113,2024-10-19,Influenza A virus,2.24,Very Low,California,4000000
ID:113,2024-10-26,Influenza A virus,2.06,Very Low,California,4000000
ID:113,2024-11-02,Influenza A virus,1.94,Very Low,California,4000000
ID:113,2024-11-09,Influenza A virus,3.53,Low,California,4000000
ID:113,2024-11-16,Influenza A virus,6.87,Moderate,California,4000000
ID:113,2024-11-23,Influenza A virus,8.41,Moderate,California,4000000
ID:113,2024-11-30,Influenza A virus,8.18,Moderate,California,4000000
ID:113,2024-12-07,Influenza A virus,10.19,Moderate,California,4000000
ID:113,2024-12-14,Influenza A virus,10.12,Moderate,California,4000000
ID:113,2024-12-21,Influenza A virus,10.21,Moderate,California,4000000
ID:113,2024-12-28,Influenza A virus,14.21,High,California,4000000
ID:113,2025-01-04,Influenza A virus,16.3,High,California,4000000
ID:113,2025-01-11,Influenza A virus,17.05,High,California,4000000
ID:113,2025-01-18,Influenza A virus,15.21,High,California,4000000
ID:113,2025-01-25,Influenza A virus,11.25,High,California,4000000
ID:113,2025-02-01,Influenza A virus,13.81,High,California,4000000
ID:113,2025-02-08,Influenza A virus,6.95,Moderate,California,4000000
ID:113,2025-02-15,Influenza A virus,6.9,Moderate,California,4000000
ID:113,2025-02-22,Influenza A virus,4.11,Low,California,4000000
ID:113,2025-03-01,Influenza A virus,4.1,Low,California,4000000
ID:113,2025-03-08,Influenza A virus,4.55,Low,California,4000000
ID:113,2025-03-15,Influenza A virus,4.93,Low,California,4000000
ID:113,2025-03-22,Influenza A virus,3.98,Low,California,4000000
ID:113,2025-03-29,Influenza A virus,2.24,Very Low,California,4000000
ID:113,2025-04-05,Influenza A virus,2.4,Very Low,California,4000000
ID:113,2025-04-12,Influenza A virus,1.76,Very Low,California,4000000
ID:113,2025-04-19,Influenza A virus,1.0,Very Low,California,4000000
ID:113,2025-04-26,Influenza A virus,2.51,Very Low,California,4000000
ID:113,2025-05-03,Influenza A virus,1.0,Very Low,California,4000000
ID:113,2025-05-10,Influenza A virus,1.0,Very Low,California,4000000
ID:113,2025-05-17,Influenza A virus,1.0,Very Low,California,4000000
ID:113,2025-05-24,Influenza A virus,1.19,Very Low,California,4000000
ID:113,2025-05-31,Influenza A virus,1.0,Very Low,California,4000000
ID:113,2025-06-07,Influenza A virus,1.34,Very Low,California,4000000
ID:113,2025-06-14,Influenza A virus,1.0,Very Low,California,4000000
ID:113,2025-06-21,Influenza A virus,1.2,Very Low,California,4000000
ID:113,2025-06-28,Influenza A virus,1.0,Very Low,California,4000000
ID:113,2025-07-05,Influenza A virus,1.12,Very Low,California,4000000
ID:113,2025-07-12,Influenza A virus,1.62,Very Low,California,4000000
ID:113,2025-07-19,Influenza A virus,1.17,Very Low,California,4000000
ID:113,2025-07-26,Influenza A virus,1.0,Very Low,California,4000000
ID:113,2025-08-02,Influenza A virus,1.0,Very Low,California,4000000
ID:113,2025-08-09,Influenza A virus,1.38,Very Low,California,4000000
ID:113,2025-08-16,Influenza A virus,1.35,Very Low,California,4000000
ID:113,2025-08-23,Influenza A virus,1.0,Very Low,California,4000000
ID:113,2025-08-30,Influenza A virus,1.4,Very Low,California,4000000
ID:113,2025-09-06,Influenza A virus,1.48,Very Low,California,4000000
ID:113,2025-09-13,Influenza A virus,1.0,Very Low,California,4000000
ID:113,2025-09-20,Influenza A virus,1.35,Very Low,California,4000000
ID:113,2025-09-27,Influenza A virus,1.13,Very Low,California,4000000
ID:113,2025-10-04,Influenza A virus,1.0,Very Low,California,4000000
ID:113,2025-10-11,Influenza A virus,1.0,Very Low,California,4000000
ID:113,2025-10-18,Influenza A virus,1.13,Very Low,California,4000000
ID:113,2025-10-25,Influenza A virus,1.28,Very Low,California,4000000
ID:113,2025-11-01,Influenza A virus,1.27,Very Low,California,4000000
ID:113,2025-11-08,Influenza A virus,3.18,Low,California,4000000
ID:113,2025-11-15,Influenza A virus,2.03,Very Low,California,4000000
ID:113,2025-11-22,Influenza A virus,2.6,Very Low,California,4000000
ID:113,2025-11-29,Influenza A virus,20.22,Very High,California,4000000
ID:113,2025-12-06,Influenza A virus,3.48,Low,California,4000000
ID:113,2025-12-13,Influenza A virus,4.22,Low,California,4000000
ID:113,2025-12-20,Influenza A virus,6.45,Moderate,California,4000000
ID:113,2025-12-27,Influenza A virus,11.62,High,California,4000000
ID:113,2026-01-03,Influenza A virus,9.76,Moderate,California,4000000
ID:113,2026-01-10,Influenza A virus,10.93,Moderate,California,4000000
ID:113,2026-01-17,Influenza A virus,9.61,Moderate,California,4000000
ID:113,2026-01-24,Influenza A virus,9.49,Moderate,California,4000000
ID:113,2026-01-31,Influenza A virus,9.87,Moderate,California,4000000
ID:113,2026-02-07,Influenza A virus,12.46,High,California,4000000
ID:113,2026-02-14,Influenza A virus,11.4,High,California,4000000
ID:113,2026-02-21,Influenza A virus,8.71,Moderate,California,4000000
ID:113,2026-02-28,Influenza A virus,6.55,Moderate,California,4000000
ID:113,2026-03-07,Influenza A virus,4.54,Low,California,4000000
ID:113,2026-03-14,Influenza A virus,6.63,Moderate,California,4000000
ID:113,2026-03-21,Influenza A virus,3.23,Low,California,4000000
ID:113,2026-03-28,Influenza A virus,2.76,Low,California,4000000
ID:113,2026-04-04,Influenza A virus,1.24,Very Low,California,4000000
ID:113,2026-04-11,Influenza A virus,1.9,Very Low,California,4000000
ID:113,2026-04-18,Influenza A virus,1.53,Very Low,California,4000000
ID:113,2026-04-25,Influenza A virus,1.18,Very Low,California,4000000
ID:113,2026-05-02,Influenza A virus,1.0,Very Low,California,4000000
ID:113,2026-05-09,Influenza A virus,1.0,Very Low,California,4000000
ID:113,2026-05-16,Influenza A virus,1.0,Very Low,California,4000000
ID:113,2026-05-23,Influenza A virus,1.0,Very Low,California,4000000
ID:113,2026-05-30,Influenza A virus,1.0,Very Low,California,4000000
ID:113,2026-06-06,Influenza A virus,1.13,Very Low,California,4000000
ID:113,2026-06-13,Influenza A virus,1.13,Very Low,California,4000000
ID:113,2026-06-20,Influenza A virus,1.0,Very Low,California,4000000
ID:113,2026-06-27,Influenza A virus,1.0,Very Low,California,4000000
ID:113,2026-07-04,Influenza A virus,1.0,Very Low,California,4000000
ID:113,2026-07-11,Influenza A virus,1.0,Very Low,California,4000000
ID:113,2026-07-18,Influenza A virus,1.0,Very Low,California,4000000
ID:114,2022-03-05,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2022-03-12,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2022-03-19,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2022-03-26,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2022-04-02,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2022-04-09,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2022-04-16,Influenza A virus,1.73,Very Low,California,3500000
ID:114,2022-04-23,Influenza A virus,1.56,Very Low,California,3500000
ID:114,2022-04-30,Influenza A virus,1.38,Very Low,California,3500000
ID:114,2022-05-07,Influenza A virus,1.24,Very Low,California,3500000
ID:114,2022-05-14,Influenza A virus,1.46,Very Low,California,3500000
ID:114,2022-05-21,Influenza A virus,1.58,Very Low,California,3500000
ID:114,2022-05-28,Influenza A virus,1.29,Very Low,California,3500000
ID:114,2022-06-04,Influenza A virus,1.63,Very Low,California,3500000
ID:114,2022-06-11,Influenza A virus,1.56,Very Low,California,3500000
ID:114,2022-06-18,Influenza A virus,2.21,Very Low,California,3500000
ID:114,2022-06-25,Influenza A virus,2.27,Very Low,California,3500000
ID:114,2022-07-02,Influenza A virus,1.39,Very Low,California,3500000
ID:114,2022-07-09,Influenza A virus,1.76,Very Low,California,3500000
ID:114,2022-07-16,Influenza A virus,1.86,Very Low,California,3500000
ID:114,2022-07-23,Influenza A virus,1.42,Very Low,California,3500000
ID:114,2022-07-30,Influenza A virus,1.56,Very Low,California,3500000
ID:114,2022-08-06,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2022-08-13,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2022-08-20,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2022-08-27,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2022-09-03,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2022-09-10,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2022-09-17,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2022-09-24,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2022-10-01,Influenza A virus,1.45,Very Low,California,3500000
ID:114,2022-10-08,Influenza A virus,1.38,Very Low,California,3500000
ID:114,2022-10-15,Influenza A virus,1.59,Very Low,California,3500000
ID:114,2022-10-22,Influenza A virus,2.22,Very Low,California,3500000
ID:114,2022-10-29,Influenza A virus,3.94,Low,California,3500000
ID:114,2022-11-05,Influenza A virus,5.28,Low,California,3500000
ID:114,2022-11-12,Influenza A virus,6.6,Moderate,California,3500000
ID:114,2022-11-19,Influenza A virus,10.25,Moderate,California,3500000
ID:114,2022-11-26,Influenza A virus,9.99,Moderate,California,3500000
ID:114,2022-12-03,Influenza A virus,15.56,High,California,3500000
ID:114,2022-12-10,Influenza A virus,9.19,Moderate,California,3500000
ID:114,2022-12-17,Influenza A virus,6.78,Moderate,California,3500000
ID:114,2022-12-24,Influenza A virus,7.82,Moderate,California,3500000
ID:114,2022-12-31,Influenza A virus,8.57,Moderate,California,3500000
ID:114,2023-01-07,Influenza A virus,6.65,Moderate,California,3500000
ID:114,2023-01-14,Influenza A virus,3.83,Low,California,3500000
ID:114,2023-01-21,Influenza A virus,1.44,Very Low,California,3500000
ID:114,2023-01-28,Influenza A virus,1.45,Very Low,California,3500000
ID:114,2023-02-04,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2023-02-11,Influenza A virus,1.42,Very Low,California,3500000
ID:114,2023-02-18,Influenza A virus,1.39,Very Low,California,3500000
ID:114,2023-02-25,Influenza A virus,2.37,Very Low,California,3500000
ID:114,2023-03-04,Influenza A virus,2.83,Low,California,3500000
ID:114,2023-03-11,Influenza A virus,1.45,Very Low,California,3500000
ID:114,2023-03-18,Influenza A virus,1.59,Very Low,California,3500000
ID:114,2023-03-25,Influenza A virus,1.12,Very Low,California,3500000
ID:114,2023-04-01,Influenza A virus,1.36,Very Low,California,3500000
ID:114,2023-04-08,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2023-04-15,Influenza A virus,1.35,Very Low,California,3500000
ID:114,2023-04-22,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2023-04-29,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2023-05-06,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2023-05-13,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2023-05-20,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2023-05-27,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2023-06-03,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2023-06-10,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2023-06-17,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2023-06-24,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2023-07-01,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2023-07-08,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2023-07-15,Influenza A virus,1.32,Very Low,California,3500000
ID:114,2023-07-22,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2023-07-29,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2023-08-05,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2023-08-12,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2023-08-19,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2023-08-26,Influenza A virus,1.23,Very Low,California,3500000
ID:114,2023-09-02,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2023-09-09,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2023-09-16,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2023-09-23,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2023-09-30,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2023-10-07,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2023-10-14,Influenza A virus,1.4,Very Low,California,3500000
ID:114,2023-10-21,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2023-10-28,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2023-11-04,Influenza A virus,2.17,Very Low,California,3500000
ID:114,2023-11-11,Influenza A virus,1.94,Very Low,California,3500000
ID:114,2023-11-18,Influenza A virus,4.36,Low,California,3500000
ID:114,2023-11-25,Influenza A virus,7.08,Moderate,California,3500000
ID:114,2023-12-02,Influenza A virus,7.63,Moderate,California,3500000
ID:114,2023-12-09,Influenza A virus,7.45,Moderate,California,3500000
ID:114,2023-12-16,Influenza A virus,8.32,Moderate,California,3500000
ID:114,2023-12-23,Influenza A virus,12.92,High,California,3500000
ID:114,2023-12-30,Influenza A virus,15.31,High,California,3500000
ID:114,2024-01-06,Influenza A virus,13.65,High,California,3500000
ID:114,2024-01-13,Influenza A virus,8.62,Moderate,California,3500000
ID:114,2024-01-20,Influenza A virus,8.1,Moderate,California,3500000
ID:114,2024-01-27,Influenza A virus,5.94,Low,California,3500000
ID:114,2024-02-03,Influenza A virus,5.13,Low,California,3500000
ID:114,2024-02-10,Influenza A virus,4.17,Low,California,3500000
ID:114,2024-02-17,Influenza A virus,3.07,Low,California,3500000
ID:114,2024-02-24,Influenza A virus,3.87,Low,California,3500000
ID:114,2024-03-02,Influenza A virus,2.18,Very Low,California,3500000
ID:114,2024-03-09,Influenza A virus,2.21,Very Low,California,3500000
ID:114,2024-03-16,Influenza A virus,1.64,Very Low,California,3500000
ID:114,2024-03-23,Influenza A virus,2.21,Very Low,California,3500000
ID:114,2024-03-30,Influenza A virus,1.86,Very Low,California,3500000
ID:114,2024-04-06,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2024-04-13,Influenza A virus,2.32,Very Low,California,3500000
ID:114,2024-04-20,Influenza A virus,4.03,Low,California,3500000
ID:114,2024-04-27,Influenza A virus,1.51,Very Low,California,3500000
ID:114,2024-05-04,Influenza A virus,2.15,Very Low,California,3500000
ID:114,2024-05-11,Influenza A virus,1.81,Very Low,California,3500000
ID:114,2024-05-18,Influenza A virus,1.5,Very Low,California,3500000
ID:114,2024-05-25,Influenza A virus,2.1,Very Low,California,3500000
ID:114,2024-06-01,Influenza A virus,1.75,Very Low,California,3500000
ID:114,2024-06-08,Influenza A virus,1.26,Very Low,California,3500000
ID:114,2024-06-15,Influenza A virus,1.39,Very Low,California,3500000
ID:114,2024-06-22,Influenza A virus,2.62,Very Low,California,3500000
ID:114,2024-06-29,Influenza A virus,1.74,Very Low,California,3500000
ID:114,2024-07-06,Influenza A virus,1.61,Very Low,California,3500000
ID:114,2024-07-13,Influenza A virus,1.72,Very Low,California,3500000
ID:114,2024-07-20,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2024-07-27,Influenza A virus,1.41,Very Low,California,3500000
ID:114,2024-08-03,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2024-08-10,Influenza A virus,1.47,Very Low,California,3500000
ID:114,2024-08-17,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2024-08-24,Influenza A virus,1.62,Very Low,California,3500000
ID:114,2024-08-31,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2024-09-07,Influenza A virus,1.16,Very Low,California,3500000
ID:114,2024-09-14,Influenza A virus,1.16,Very Low,California,3500000
ID:114,2024-09-21,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2024-09-28,Influenza A virus,1.29,Very Low,California,3500000
ID:114,2024-10-05,Influenza A virus,1.38,Very Low,California,3500000
ID:114,2024-10-12,Influenza A virus,1.8,Very Low,California,3500000
ID:114,2024-10-19,Influenza A virus,2.37,Very Low,California,3500000
ID:114,2024-10-26,Influenza A virus,1.9,Very Low,California,3500000
ID:114,2024-11-02,Influenza A virus,5.36,Low,California,3500000
ID:114,2024-11-09,Influenza A virus,21.64,Very High,California,3500000
ID:114,2024-11-16,Influenza A virus,21.39,Very High,California,3500000
ID:114,2024-11-23,Influenza A virus,12.25,High,California,3500000
ID:114,2024-11-30,Influenza A virus,18.6,Very High,California,3500000
ID:114,2024-12-07,Influenza A virus,8.36,Moderate,California,3500000
ID:114,2024-12-14,Influenza A virus,10.83,Moderate,California,3500000
ID:114,2024-12-21,Influenza A virus,10.84,Moderate,California,3500000
ID:114,2024-12-28,Influenza A virus,12.6,High,California,3500000
ID:114,2025-01-04,Influenza A virus,11.97,High,California,3500000
ID:114,2025-01-11,Influenza A virus,9.87,Moderate,California,3500000
ID:114,2025-01-18,Influenza A virus,11.86,High,California,3500000
ID:114,2025-01-25,Influenza A virus,14.03,High,California,3500000
ID:114,2025-02-01,Influenza A virus,9.47,Moderate,California,3500000
ID:114,2025-02-08,Influenza A virus,7.99,Moderate,California,3500000
ID:114,2025-02-15,Influenza A virus,4.89,Low,California,3500000
ID:114,2025-02-22,Influenza A virus,3.6,Low,California,3500000
ID:114,2025-03-01,Influenza A virus,3.33,Low,California,3500000
ID:114,2025-03-08,Influenza A virus,4.19,Low,California,3500000
ID:114,2025-03-15,Influenza A virus,2.55,Very Low,California,3500000
ID:114,2025-03-22,Influenza A virus,4.22,Low,California,3500000
ID:114,2025-03-29,Influenza A virus,3.14,Low,California,3500000
ID:114,2025-04-05,Influenza A virus,2.09,Very Low,California,3500000
ID:114,2025-04-12,Influenza A virus,1.88,Very Low,California,3500000
ID:114,2025-04-19,Influenza A virus,1.38,Very Low,California,3500000
ID:114,2025-04-26,Influenza A virus,2.8,Low,California,3500000
ID:114,2025-05-03,Influenza A virus,1.28,Very Low,California,3500000
ID:114,2025-05-10,Influenza A virus,1.61,Very Low,California,3500000
ID:114,2025-05-17,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2025-05-24,Influenza A virus,1.26,Very Low,California,3500000
ID:114,2025-05-31,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2025-06-07,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2025-06-14,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2025-06-21,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2025-06-28,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2025-07-05,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2025-07-12,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2025-07-19,Influenza A virus,2.11,Very Low,California,3500000
ID:114,2025-07-26,Influenza A virus,2.55,Very Low,California,3500000
ID:114,2025-08-02,Influenza A virus,2.5,Very Low,California,3500000
ID:114,2025-08-09,Influenza A virus,1.26,Very Low,California,3500000
ID:114,2025-08-16,Influenza A virus,1.16,Very Low,California,3500000
ID:114,2025-08-23,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2025-08-30,Influenza A virus,1.35,Very Low,California,3500000
ID:114,2025-09-06,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2025-09-13,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2025-09-20,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2025-09-27,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2025-10-04,Influenza A virus,1.14,Very Low,California,3500000
ID:114,2025-10-11,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2025-10-18,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2025-10-25,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2025-11-01,Influenza A virus,1.25,Very Low,California,3500000
ID:114,2025-11-08,Influenza A virus,1.0,Very Low,California,3500000
ID:114,2025-11-15,Influenza A virus,1.17,Very Low,California,3500000
ID:114,2025-11-22,Influenza A virus,1.63,Very Low,California,3500000
ID:114,2025-11-29,Influenza A virus,1.97,Very Low,California,3500000
ID:114,2025-12-06,Influenza A virus,1.55,Very Low,California,3500000
ID:114,2025-12-13,Influenza A virus,1.82,Very Low,California,3500000
ID:114,2025-12-20,Influenza A virus,1.51,Very Low,California,3500000
